id,Account1,Monthly Period,History,Motive,Credit1,Account2,Employment Period,InstallmentRate,Gender&Type,Sponsors,Tenancy Period,Plotsize,Age,Plan,Housing,#Credits,Post,#Authorities,Phone,Expatriate,InstallmentCredit,Yearly Period,Class
id344,ad,12,c2,p3,2141,sacc2,time4,3,F0,G1,1,XL,35,PL3,H2,1,Jb3,1,yes,FALSE,12.5246852367602,0.5868938062751,2.0
id949,ac,10,c4,p0,781,sacc1,time5,4,F0,G1,4,XL,?,PL3,H3,2,Jb3,1,no,FALSE,4.10050935474222,0.734172716951736,0.0
id744,ad,24,c2,p3,3235,sacc3,time5,3,M0,G1,2,LA,26,PL3,H2,1,Jb4,1,no,FALSE,17.7320722070928,1.5902564698525,0.0
id402,ad,36,c2,p2,3349,sacc1,time3,4,M1,G1,2,LA,28,PL3,H2,1,Jb4,1,no,FALSE,18.8013966361558,3.0950888152523,0.0
id564,ad,10,c2,p2,2210,sacc1,time3,2,F0,G1,2,sm,25,PL1,H1,1,Jb2,1,yes,FALSE,11.7797244405476,0.509442335186864,1.0
id503,ad,24,c4,p2,1585,sacc1,time4,4,F0,G1,3,ME,40,PL3,H2,2,Jb3,1,yes,FALSE,8.48291421148592,2.34008733785829,0.0
id966,aa,24,c1,p0,1193,sacc1,time1,1,M1,G2,4,XL,29,PL3,H1,2,Jb1,1,yes,FALSE,6.76990332453873,1.82951025224258,2.0
id548,ac,24,c4,p3,3148,sacc5,time3,3,F0,G1,2,LA,31,PL3,H2,2,Jb3,1,no,FALSE,16.9205717847449,1.79971219508306,1.0
id931,ad,18,c3,p3,2320,sacc1,time1,2,F1,G1,3,sm,34,PL3,H2,2,Jb3,1,yes,FALSE,12.8200647807366,1.75180626199434,1.0
id164,aa,12,c2,p3,727,sacc2,time2,4,F1,G1,3,XL,33,PL3,H2,1,Jb2,1,no,FALSE,2.9723876171105,0.883757442114391,1.0
id697,ac,18,c2,p0,1961,sacc1,time5,3,M1,G1,2,LA,23,PL3,H2,1,Jb4,1,yes,FALSE,11.3540497592699,1.80882141774591,0.0
id277,aa,6,c2,p1,1352,sacc3,time1,1,M1,G1,2,ME,23,PL3,H1,1,Jb1,1,no,FALSE,7.09832778953235,0.93700153817682,2.0
id646,ab,24,c2,p3,2039,sacc1,time2,1,F1,G1,1,me,22,PL3,H2,1,Jb3,1,no,FALSE,11.0339648909843,1.50032308788982,1.0
id352,ad,24,c2,p0,2255,sacc5,time2,4,F0,G1,1,ME,54,PL3,H2,1,Jb3,1,yes,FALSE,12.4183227363757,2.37592467186399,0.0
id758,ab,9,c2,p3,2118,sacc1,time3,2,F0,G1,2,SM,37,PL3,H2,1,Jb2,2,yes,FALSE,12.1857203490623,0.979640692969828,0.0
id89,ad,12,c4,p6,701,sacc1,time3,4,F0,G1,2,LA,32,PL3,H2,2,Jb3,1,yes,FALSE,2.91585627226762,1.41397417706598,0.0
id288,ab,12,c2,p3,2930,sacc1,time4,2,M1,G1,1,SM,27,PL3,H2,1,Jb3,1,yes,FALSE,15.2573569458728,0.67818831581851,1.0
id942,ab,18,c4,p2,1295,sacc1,time2,4,M1,G1,1,ME,27,PL3,H2,2,Jb3,1,yes,FALSE,6.91880095043762,1.71946622064924,0.0
id386,ad,36,c2,p3,2394,sacc5,time3,4,M1,G1,4,LA,25,PL3,H2,1,Jb3,1,yes,FALSE,13.7596387671539,2.6073605232833,0.0
id90,ab,12,c2,p0,836,sacc2,time2,4,M1,G1,2,ME,23,PL1,H2,1,Jb2,1,yes,FALSE,3.87588001792387,1.49316468595352,2.0
id244,ac,24,c2,p0,947,sacc1,time4,4,F0,G1,3,XL,38,PL1,H3,1,Jb3,2,yes,FALSE,5.21039664329109,1.62859192796954,2.0
id394,ad,21,c2,p1,2476,sacc5,time5,4,F0,G1,4,SM,46,PL3,H2,1,Jb4,1,no,FALSE,12.8293607343491,1.49659174031601,0.0
id886,ab,36,c2,p3,2323,sacc1,time4,4,F0,G1,4,LA,24,PL3,H1,1,Jb3,1,yes,FALSE,12.1964368822762,2.86731814029779,0.0
id608,aa,21,c2,p3,3357,Sacc4,time2,4,M1,G1,2,LA,29,PL1,H2,1,Jb3,1,yes,FALSE,18.3141818787585,1.41147151425292,1.0
id356,aa,36,c2,p6,1977,sacc5,time5,4,F0,G1,4,XL,40,PL3,H2,1,Jb4,1,no,FALSE,10.011826468466,2.97888844941939,1.0
id581,ab,48,c2,p2,9960,sacc1,time2,1,M1,G1,2,LA,26,PL3,H2,1,Jb3,1,no,FALSE,53.1083593422879,4.23107008597534,0.0
id75,ad,?,c4,p2,1402,sacc3,time4,3,M1,G1,4,LA,37,PL3,H1,1,Jb3,1,no,FALSE,7.46063027727005,?,0.0
id149,ad,27,c2,p5,5190,sacc5,time5,4,F0,G1,4,ME,48,PL3,H2,4,Jb3,2,no,FALSE,27.5815266814741,2.42192825531471,0.0
id136,aa,20,c2,p2,2212,sacc5,time4,4,F0,G1,4,LA,39,PL3,H2,1,Jb3,1,no,FALSE,11.9167689719118,1.42881434335971,0.0
id884,ab,21,c3,p0,2353,sacc1,time3,1,M0,G1,4,ME,47,PL3,H2,2,Jb3,1,yes,FALSE,12.5946478067751,1.55798224686399,1.0
id437,ab,24,c2,p3,1967,sacc1,time5,4,M1,G1,4,LA,20,PL3,H2,1,Jb3,1,no,FALSE,10.1785790315703,1.62523840137697,2.0
id606,ab,12,c3,p3,585,sacc1,time3,4,F1,G2,4,SM,20,PL3,H1,2,Jb3,1,yes,FALSE,3.57366519071333,0.570225425253684,2.0
id18,ab,12,c2,p3,1092,sacc1,time3,4,M1,G3,4,SM,49,PL3,H2,2,Jb3,1,no,FALSE,5.60941317207315,0.588209312592185,2.0
id506,aa,12,c1,p3,2149,sacc1,time3,4,M0,G1,1,XL,29,PL3,H3,1,Jb3,1,yes,FALSE,12.4183555621009,1.21527868278637,2.0
id844,aa,24,c4,p0,1199,sacc1,time5,4,F0,G1,4,LA,60,PL3,H2,2,Jb2,1,yes,FALSE,6.92116632128742,1.76030417662282,0.0
id300,ab,24,c2,p0,3512,sacc2,time4,2,F0,G1,3,LA,38,PL1,H2,2,Jb3,1,no,FALSE,18.5760371354083,2.06707188272185,0.0
id623,ab,18,c2,p9,4439,sacc1,time5,1,F0,G2,1,SM,33,PL1,H2,1,Jb4,1,no,FALSE,23.7162054223987,1.13910828155045,1.0
id410,aa,6,c4,p3,1169,sacc5,time5,4,F0,G1,4,SM,67,PL3,H2,2,Jb3,1,no,FALSE,6.36107824301984,0.0732861570126,2.0
id217,ad,14,c3,p0,802,sacc1,time3,4,F0,G1,2,LA,27,PL3,H2,2,Jb2,1,yes,FALSE,5.29021746361819,1.12730107526025,0.0
id318,ad,36,c4,p3,3342,sacc5,time5,4,F0,G1,2,LA,51,PL3,H2,1,Jb3,1,no,FALSE,17.9959067384091,2.94768928726839,0.0
id558,ab,18,c2,p3,1113,sacc1,time3,4,M1,G3,4,SM,26,PL3,H2,1,Jb2,2,yes,FALSE,6.37352622400508,1.6642462865602,0.0
id324,ad,12,c4,p3,717,sacc1,time5,4,F0,G1,4,SM,52,PL3,H2,3,Jb3,1,yes,FALSE,3.54487056302194,0.517053677432632,2.0
id454,ad,12,c4,p3,1934,sacc1,time5,2,F0,G1,2,XL,26,PL3,H2,2,Jb3,1,yes,FALSE,9.89097532486264,1.48917097571789,0.0
id246,ab,48,c2,p3,10961,sacc4,time4,1,F0,G2,2,XL,27,PL1,H2,2,Jb3,1,no,FALSE,59.1138684729256,3.96619862488852,2.0
id378,ad,12,c2,p3,1963,sacc1,time4,4,F0,G1,2,LA,31,PL3,H1,2,Jb4,2,no,FALSE,10.0310442029634,0.775217429546787,0.0
id14,aa,15,c4,p2,1433,sacc1,time3,4,M1,G1,3,ME,25,PL3,H1,2,Jb3,1,yes,FALSE,7.07167484870635,0.937517154703171,2.0
id218,ac,42,c0,p9,6289,sacc1,time2,2,M0,G1,1,ME,33,PL3,H2,2,Jb3,1,yes,FALSE,33.8989767758753,3.14532148325122,1.0
id83,aa,18,c4,p5,1190,sacc1,time1,2,M1,G1,4,XL,55,PL3,H3,3,Jb1,2,yes,FALSE,6.17242028247064,1.43951111976862,2.0
id444,aa,12,c2,p2,2578,sacc1,time1,3,M1,G1,4,XL,55,PL3,H3,1,Jb4,1,yes,FALSE,14.8793868176715,1.15330370489471,2.0
id56,ab,30,c2,p2,3832,sacc1,time2,2,F1,G1,1,ME,22,PL3,H2,1,Jb3,1,yes,FALSE,20.0396591729078,2.29546099251813,1.0
id196,ad,12,c0,p2,2759,sacc1,time5,2,F0,G1,4,ME,34,PL3,H2,2,Jb3,1,yes,FALSE,14.6893632460521,1.4467294985214,0.0
id551,ac,6,c4,p0,1323,sacc2,time5,2,M0,G1,4,LA,28,PL3,H2,2,Jb3,2,no,FALSE,7.00183919067048,0.811522712460834,1.0
id716,aa,15,c2,p0,2511,sacc1,time1,1,M1,G1,4,LA,23,PL3,H1,1,Jb3,1,yes,FALSE,12.9199716019338,1.0430758784521,0.0
id759,aa,10,c4,p2,2132,sacc5,time2,2,M1,G2,3,SM,27,PL3,H1,2,Jb3,1,yes,TRUE,11.9958212262918,0.852593357244749,2.0
id653,ab,48,c4,p2,5096,sacc1,time3,2,M1,G1,3,LA,30,PL3,H2,1,Jb4,1,no,FALSE,27.5116260964172,4.34539216604534,0.0
id212,ab,36,c2,p1,6948,sacc1,time3,2,F0,G1,2,LA,35,PL3,H1,1,Jb4,1,no,FALSE,36.7208186492845,3.13895035776548,0.0
id770,ab,18,c3,p0,2899,sacc5,time5,4,F0,G1,4,LA,43,PL3,H2,1,Jb3,2,yes,FALSE,15.2019338164237,1.74819354135545,1.0
id289,ad,24,c2,p0,1525,sacc4,time4,4,M1,G1,3,LA,34,PL3,H2,1,Jb3,2,no,FALSE,8.44234996999907,1.82937857311022,0.0
id892,aa,45,c0,p9,11816,sacc1,time5,2,F0,G1,4,LA,29,PL3,H1,2,Jb3,1,yes,FALSE,64.9957716420397,3.65663554765432,2.0
id720,ad,12,c2,p0,3527,sacc5,time2,2,F0,G1,3,ME,45,PL3,H2,1,Jb4,2,no,FALSE,18.4982249549061,1.1993812071618,0.0
id385,ab,12,c4,p1,1860,sacc1,time1,4,F0,G1,2,LA,34,PL3,H2,2,Jb4,1,no,FALSE,9.68652607542258,0.744739146604584,0.0
id369,ad,18,c2,p3,1126,sacc5,time2,4,M1,G1,2,SM,21,PL3,H1,1,Jb3,1,no,FALSE,6.28870974088721,1.51375757812775,2.0
id607,aa,30,c2,p3,2522,sacc1,time5,1,F0,G3,3,ME,39,PL3,H2,1,Jb3,2,yes,FALSE,13.3710784702295,2.45891443695542,2.0
id443,ad,60,c3,p3,15653,sacc1,time4,2,F0,G1,4,LA,21,PL3,H2,2,Jb3,1,no,FALSE,84.9818999844594,5.40866845462228,1.0
